date,year,month,day,season,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2018-01-24,2018,1,24,Winter,-7.8,0,1,0.0,0.0,20.541666666666668
2018-01-25,2018,1,25,Winter,-9.6,0,1,0.0,0.0,17.375
2018-01-26,2018,1,26,Winter,-8.8,0,1,0.0,0.0,21.583333333333332
2018-01-27,2018,1,27,Winter,-7.6,0,1,0.0,0.0,41.25
2018-01-30,2018,1,30,Winter,0.1,0,1,0.0,0.0,22.083333333333332
2018-01-31,2018,1,31,Winter,-2.2,0,1,0.0,0.0,24.125
2018-02-01,2018,2,1,Spring,-0.8,0,1,0.0,0.0,27.375
2018-02-03,2018,2,3,Spring,-5.9,0,1,0.0,0.0,17.333333333333332
2018-02-04,2018,2,4,Spring,-4.0,0,1,0.0,0.0,20.666666666666668
2018-02-05,2018,2,5,Spring,-6.8,0,1,0.0,0.0,21.083333333333332
2018-02-06,2018,2,6,Spring,-4.7,0,1,0.0,0.0,26.916666666666668
2018-02-07,2018,2,7,Spring,-4.8,0,1,0.0,0.0,25.583333333333332
2018-02-08,2018,2,8,Spring,-4.6,0,1,0.0,0.0,23.875
2018-02-12,2018,2,12,Spring,-2.0,0,1,0.0,0.0,22.375
2018-02-13,2018,2,13,Spring,0.6,0,1,0.0,0.0,28.041666666666668
2018-02-14,2018,2,14,Spring,-0.4,0,1,0.0,0.0,25.5
2018-02-15,2018,2,15,Spring,-2.2,0,1,0.0,0.0,25.208333333333332
2018-02-16,2018,2,16,Spring,0.4,0,1,0.0,0.0,27.333333333333332
2018-02-17,2018,2,17,Spring,-2.5,0,1,0.0,0.0,43.833333333333336
2018-02-18,2018,2,18,Spring,0.8,0,1,0.0,0.0,57.958333333333336
2018-02-19,2018,2,19,Spring,1.2,0,1,0.0,0.0,72.08333333333333
2018-02-20,2018,2,20,Spring,0.9,0,1,0.0,0.0,32.041666666666664
2018-02-21,2018,2,21,Spring,1.7,0,1,0.0,0.0,35.416666666666664
2018-02-22,2018,2,22,Spring,0.8,0,1,0.0,0.0,25.916666666666668
2018-02-23,2018,2,23,Spring,4.0,0,1,0.0,0.0,28.333333333333332
2018-02-24,2018,2,24,Spring,-2.1,0,1,0.0,0.0,34.791666666666664
2018-02-25,2018,2,25,Spring,-0.3,0,1,0.0,0.0,50.125
